,UploadKey,JobStartDate,JobEndDate,APINumber,StateNumber,CountyNumber,OperatorName,WellName,Latitude,Longitude,Projection,TVD,TotalBaseWaterVolume,TotalBaseNonWaterVolume,StateName,CountyName,FFVersion,FederalWell,IndianWell,Source,DTMOD,PurposeKey,TradeName,Supplier,Purpose,SystemApproach,IsWater,PurposePercentHFJob,PurposeIngredientMSDS,IngredientKey,IngredientName,CASNumber,PercentHighAdditive,PercentHFJob,IngredientComment,IngredientMSDS,MassIngredient,ClaimantCompany,DisclosureKey
1029,c2f36286-6276-41cc-9ffe-26202ce4c60e,12/4/2018 3:20:00 AM,12/13/2018 5:27:00 PM,42255360130000,42,255,Magnolia Oil & Gas LLC,Moczygemba 109H,29.049239,-97.80883,NAD27,10358.0,6456716.0,0.0,Texas,Karnes,3,False,False,,,4b786ac5-8b1f-45d6-8075-2d96f71574c1,I-1L,Chemplex,Iron Control,,,,,abf0a950-fb8e-452c-9b76-6869879d93b0,Citric Acid,77-92-9,55.0,4.61184e-05,None,True,28.686,,c2f36286-6276-41cc-9ffe-26202ce4c60e
1030,c2f36286-6276-41cc-9ffe-26202ce4c60e,12/4/2018 3:20:00 AM,12/13/2018 5:27:00 PM,42255360130000,42,255,Magnolia Oil & Gas LLC,Moczygemba 109H,29.049239,-97.80883,NAD27,10358.0,6456716.0,0.0,Texas,Karnes,3,False,False,,,65ac9c9f-6dae-470d-a34a-383cbc83c823,UPPMP075,UPP,7.5% HCL,,,,,b1c84e74-e628-4b44-9ad7-cf6d15661197,Hydrochloric acid,7647-01-0,15.0,0.0035217677,None,True,2190.563,,c2f36286-6276-41cc-9ffe-26202ce4c60e
1031,c2f36286-6276-41cc-9ffe-26202ce4c60e,12/4/2018 3:20:00 AM,12/13/2018 5:27:00 PM,42255360130000,42,255,Magnolia Oil & Gas LLC,Moczygemba 109H,29.049239,-97.80883,NAD27,10358.0,6456716.0,0.0,Texas,Karnes,3,False,False,,,65ac9c9f-6dae-470d-a34a-383cbc83c823,UPPMP075,UPP,7.5% HCL,,,,,d76661d3-fc65-4ca4-bf48-34400a221f26,Water,7732-18-5,95.0,0.022304529,None,True,13873.563,,c2f36286-6276-41cc-9ffe-26202ce4c60e
1032,c2f36286-6276-41cc-9ffe-26202ce4c60e,12/4/2018 3:20:00 AM,12/13/2018 5:27:00 PM,42255360130000,42,255,Magnolia Oil & Gas LLC,Moczygemba 109H,29.049239,-97.80883,NAD27,10358.0,6456716.0,0.0,Texas,Karnes,3,False,False,,,361a6c7e-2cc1-41aa-aa0b-4a9b9a3fe3e8,CIA-1,Chemplex,Corrosion Inhibitor,,,,,fb7c7791-f297-441f-b39a-c58fccfc3884,Propargyl Alcohol,107-19-7,5.0,2.7537e-06,None,True,1.713,,c2f36286-6276-41cc-9ffe-26202ce4c60e
1033,c2f36286-6276-41cc-9ffe-26202ce4c60e,12/4/2018 3:20:00 AM,12/13/2018 5:27:00 PM,42255360130000,42,255,Magnolia Oil & Gas LLC,Moczygemba 109H,29.049239,-97.80883,NAD27,10358.0,6456716.0,0.0,Texas,Karnes,3,False,False,,,361a6c7e-2cc1-41aa-aa0b-4a9b9a3fe3e8,CIA-1,Chemplex,Corrosion Inhibitor,,,,,2584ccae-5c2f-4fdd-8060-4b8d9433235f,"Alcohols, C14-15, Ethoxylated",68951-67-7,7.0,3.8552e-06,None,True,2.398,,c2f36286-6276-41cc-9ffe-26202ce4c60e
1034,c2f36286-6276-41cc-9ffe-26202ce4c60e,12/4/2018 3:20:00 AM,12/13/2018 5:27:00 PM,42255360130000,42,255,Magnolia Oil & Gas LLC,Moczygemba 109H,29.049239,-97.80883,NAD27,10358.0,6456716.0,0.0,Texas,Karnes,3,False,False,,,361a6c7e-2cc1-41aa-aa0b-4a9b9a3fe3e8,CIA-1,Chemplex,Corrosion Inhibitor,,,,,de171489-580b-429f-9416-b5f6b384efaa,Methanol,67-56-1,90.0,4.95664e-05,None,True,30.831,,c2f36286-6276-41cc-9ffe-26202ce4c60e
1035,c2f36286-6276-41cc-9ffe-26202ce4c60e,12/4/2018 3:20:00 AM,12/13/2018 5:27:00 PM,42255360130000,42,255,Magnolia Oil & Gas LLC,Moczygemba 109H,29.049239,-97.80883,NAD27,10358.0,6456716.0,0.0,Texas,Karnes,3,False,False,,,9b1fca97-744d-455d-8f0d-521a243ee5af,Water,UPP,Carrier/Base Fluid,,,,,4845f64d-65db-40ce-84c4-fff69882525f,Water,7732-18-5,100.0,86.6249678218,None,True,53881295.02,,c2f36286-6276-41cc-9ffe-26202ce4c60e
1036,c2f36286-6276-41cc-9ffe-26202ce4c60e,12/4/2018 3:20:00 AM,12/13/2018 5:27:00 PM,42255360130000,42,255,Magnolia Oil & Gas LLC,Moczygemba 109H,29.049239,-97.80883,NAD27,10358.0,6456716.0,0.0,Texas,Karnes,3,False,False,,,3d78da9d-1920-4f3c-93e9-78c303d696ce,I-3,Rockwater,Iron Control,,,,,b96c182a-d50c-44b5-875d-0d5adafd429b,Sodium Erythorbate,6381-77-7,100.0,1.44693e-05,None,True,9.0,,c2f36286-6276-41cc-9ffe-26202ce4c60e
1037,c2f36286-6276-41cc-9ffe-26202ce4c60e,12/4/2018 3:20:00 AM,12/13/2018 5:27:00 PM,42255360130000,42,255,Magnolia Oil & Gas LLC,Moczygemba 109H,29.049239,-97.80883,NAD27,10358.0,6456716.0,0.0,Texas,Karnes,3,False,False,,,3dce6397-06a1-437d-bf58-86fea89ce822,NE-1,Chemplex,Nonemulsifier,,,,,17ee43ec-6a78-43aa-b586-4a8d9309b8f2,Diethanolamine,111-42-2,5.0,6.507e-07,None,True,0.405,,c2f36286-6276-41cc-9ffe-26202ce4c60e
1038,c2f36286-6276-41cc-9ffe-26202ce4c60e,12/4/2018 3:20:00 AM,12/13/2018 5:27:00 PM,42255360130000,42,255,Magnolia Oil & Gas LLC,Moczygemba 109H,29.049239,-97.80883,NAD27,10358.0,6456716.0,0.0,Texas,Karnes,3,False,False,,,3dce6397-06a1-437d-bf58-86fea89ce822,NE-1,Chemplex,Nonemulsifier,,,,,6e6e4abe-5301-4c0f-a6b7-b15e9e2641db,"Fatty Acids, Tall-oil, Compds. With Diethanolamine",61790-66-7,5.0,6.507e-07,None,True,0.405,,c2f36286-6276-41cc-9ffe-26202ce4c60e
