,UploadKey,JobStartDate,JobEndDate,APINumber,StateNumber,CountyNumber,OperatorName,WellName,Latitude,Longitude,Projection,TVD,TotalBaseWaterVolume,TotalBaseNonWaterVolume,StateName,CountyName,FFVersion,FederalWell,IndianWell,Source,DTMOD,PurposeKey,TradeName,Supplier,Purpose,SystemApproach,IsWater,PurposePercentHFJob,PurposeIngredientMSDS,IngredientKey,IngredientName,CASNumber,PercentHighAdditive,PercentHFJob,IngredientComment,IngredientMSDS,MassIngredient,ClaimantCompany,DisclosureKey
9253,52d70fc2-27c0-4d79-96a0-8d0ba248b492,1/20/2014 3:24:44 PM,1/20/2014 5:29:58 PM,42255333660000,42,255,Marathon Oil , Challenger Unit B 4H,28.92186111,-97.9947667,NAD27,10926.0,4417481.0,0.0,Texas,Karnes,2,False,False,,,7ad72dc2-5f05-45a9-92ab-0455c139e042,Cla-Web?,Halliburton,Additive,,,,,db1b42df-c383-4753-acfc-490ba538c60c,Ammonium salt,Proprietary,60.0,0.0286044906824827,,True,12026.0,,52d70fc2-27c0-4d79-96a0-8d0ba248b492
9254,52d70fc2-27c0-4d79-96a0-8d0ba248b492,1/20/2014 3:24:44 PM,1/20/2014 5:29:58 PM,42255333660000,42,255,Marathon Oil , Challenger Unit B 4H,28.92186111,-97.9947667,NAD27,10926.0,4417481.0,0.0,Texas,Karnes,2,False,False,,,eeacc189-6af9-467c-8d68-0c76b4f48f51,,,Other Ingredient(s),,,,,1814626b-ed8e-45e9-921b-63e1b05279b2,"Bentonite, benzyl(hydrogenated tallow alkyl) dimethylammonium stearate complex",121888-68-4,0.0,0.0124698737636209,,False,5243.0,,52d70fc2-27c0-4d79-96a0-8d0ba248b492
9255,52d70fc2-27c0-4d79-96a0-8d0ba248b492,1/20/2014 3:24:44 PM,1/20/2014 5:29:58 PM,42255333660000,42,255,Marathon Oil , Challenger Unit B 4H,28.92186111,-97.9947667,NAD27,10926.0,4417481.0,0.0,Texas,Karnes,2,False,False,,,1051fa59-1686-4c5b-a0b2-0ded12c5d2bc,,,Other Ingredient(s),,,,,8fce7c58-0b04-4039-97ca-88adafcac912,Quaternary amine,Proprietary,0.0,0.00238370755687356,,False,1003.0,,52d70fc2-27c0-4d79-96a0-8d0ba248b492
9256,52d70fc2-27c0-4d79-96a0-8d0ba248b492,1/20/2014 3:24:44 PM,1/20/2014 5:29:58 PM,42255333660000,42,255,Marathon Oil , Challenger Unit B 4H,28.92186111,-97.9947667,NAD27,10926.0,4417481.0,0.0,Texas,Karnes,2,False,False,,,fff50b49-1a69-4633-9e36-1700fe63768a,,,Other Ingredient(s),,,,,f2c28040-978b-409d-9b0f-660ed9adf9e2,"Crystalline Silica, Quartz",14808-60-7,0.0,0.000249397475272417,,False,105.0,,52d70fc2-27c0-4d79-96a0-8d0ba248b492
9257,52d70fc2-27c0-4d79-96a0-8d0ba248b492,1/20/2014 3:24:44 PM,1/20/2014 5:29:58 PM,42255333660000,42,255,Marathon Oil , Challenger Unit B 4H,28.92186111,-97.9947667,NAD27,10926.0,4417481.0,0.0,Texas,Karnes,2,False,False,,,13ac1d3a-06d9-4465-a9e5-1fd26edc880a,HAI-404M?,Halliburton,Corrosion Inhibitor,,,,,dcd92f1a-35b2-438a-92ea-da6bfa3388f8,1-(Benzyl)quinolinium chloride,15619-48-4,10.0,0.000741957861464471,,True,312.0,,52d70fc2-27c0-4d79-96a0-8d0ba248b492
9258,52d70fc2-27c0-4d79-96a0-8d0ba248b492,1/20/2014 3:24:44 PM,1/20/2014 5:29:58 PM,42255333660000,42,255,Marathon Oil , Challenger Unit B 4H,28.92186111,-97.9947667,NAD27,10926.0,4417481.0,0.0,Texas,Karnes,2,False,False,,,13ac1d3a-06d9-4465-a9e5-1fd26edc880a,HAI-404M?,Halliburton,Corrosion Inhibitor,,,,,1e41056b-1a17-4fd5-bfbd-e65ba84e8b2b,Quaternary ammonium salt,Proprietary,10.0,0.000741957861464471,,True,312.0,,52d70fc2-27c0-4d79-96a0-8d0ba248b492
9259,52d70fc2-27c0-4d79-96a0-8d0ba248b492,1/20/2014 3:24:44 PM,1/20/2014 5:29:58 PM,42255333660000,42,255,Marathon Oil , Challenger Unit B 4H,28.92186111,-97.9947667,NAD27,10926.0,4417481.0,0.0,Texas,Karnes,2,False,False,,,13ac1d3a-06d9-4465-a9e5-1fd26edc880a,HAI-404M?,Halliburton,Corrosion Inhibitor,,,,,ad39be59-b706-47dd-a425-4edb621c5fe5,Aldehyde,Proprietary,30.0,0.00222587352618575,,True,936.0,,52d70fc2-27c0-4d79-96a0-8d0ba248b492
9260,52d70fc2-27c0-4d79-96a0-8d0ba248b492,1/20/2014 3:24:44 PM,1/20/2014 5:29:58 PM,42255333660000,42,255,Marathon Oil , Challenger Unit B 4H,28.92186111,-97.9947667,NAD27,10926.0,4417481.0,0.0,Texas,Karnes,2,False,False,,,13ac1d3a-06d9-4465-a9e5-1fd26edc880a,HAI-404M?,Halliburton,Corrosion Inhibitor,,,,,39181d51-a1f4-4227-ad0b-d2547090ab15,Methanol,67-56-1,30.0,0.00222587352618575,,True,936.0,,52d70fc2-27c0-4d79-96a0-8d0ba248b492
9261,52d70fc2-27c0-4d79-96a0-8d0ba248b492,1/20/2014 3:24:44 PM,1/20/2014 5:29:58 PM,42255333660000,42,255,Marathon Oil , Challenger Unit B 4H,28.92186111,-97.9947667,NAD27,10926.0,4417481.0,0.0,Texas,Karnes,2,False,False,,,13ac1d3a-06d9-4465-a9e5-1fd26edc880a,HAI-404M?,Halliburton,Corrosion Inhibitor,,,,,3dab3c1f-decf-4ca3-8e08-e908aa77a822,Isopropanol,67-63-0,30.0,0.00222587352618575,,True,936.0,,52d70fc2-27c0-4d79-96a0-8d0ba248b492
9262,52d70fc2-27c0-4d79-96a0-8d0ba248b492,1/20/2014 3:24:44 PM,1/20/2014 5:29:58 PM,42255333660000,42,255,Marathon Oil , Challenger Unit B 4H,28.92186111,-97.9947667,NAD27,10926.0,4417481.0,0.0,Texas,Karnes,2,False,False,,,08fb319d-acc0-4141-9bb9-269c3520d164,,,Other Ingredient(s),,,,,c903b0e2-2d02-4830-b3d2-50c406e8ac6e,Ammonium phosphate,7722-76-1,0.0,7.41957846912555e-05,,False,32.0,,52d70fc2-27c0-4d79-96a0-8d0ba248b492
