,UploadKey,JobStartDate,JobEndDate,APINumber,StateNumber,CountyNumber,OperatorName,WellName,Latitude,Longitude,Projection,TVD,TotalBaseWaterVolume,TotalBaseNonWaterVolume,StateName,CountyName,FFVersion,FederalWell,IndianWell,Source,DTMOD,PurposeKey,TradeName,Supplier,Purpose,SystemApproach,IsWater,PurposePercentHFJob,PurposeIngredientMSDS,IngredientKey,IngredientName,CASNumber,PercentHighAdditive,PercentHFJob,IngredientComment,IngredientMSDS,MassIngredient,ClaimantCompany,DisclosureKey
1743,8a797683-101f-4fe0-9501-ec4f0d53ce1b,7/21/2013 12:00:00 AM,7/24/2013 12:00:00 AM,42255330840000,42,255,ConocoPhillips Company/Burlington Resources, Witte Unit B2,28.962589,-97.752161,NAD27,13064.0,3023789.0,0.0,Texas,Karnes,2,False,False,,,8e2e9bee-9d72-4b1b-9b94-01424d78ad6e,GEL-STA L STABILIZER,Halliburton,Stabilizer,,,,,3e802bdb-e66f-42d8-9b44-6ce2572e10eb,Sodium thiosulfate,7772-98-7,60.0,0.409799605607986,,True,117256.0,,8a797683-101f-4fe0-9501-ec4f0d53ce1b
1744,8a797683-101f-4fe0-9501-ec4f0d53ce1b,7/21/2013 12:00:00 AM,7/24/2013 12:00:00 AM,42255330840000,42,255,ConocoPhillips Company/Burlington Resources, Witte Unit B2,28.962589,-97.752161,NAD27,13064.0,3023789.0,0.0,Texas,Karnes,2,False,False,,,585a749a-3543-4ed8-8c89-02eb598dbce2,,,Other Ingredient(s),,,,,37ca3c02-e27c-44c9-a76a-3ecea3a1a601,Silica gel,112926-00-8,0.0,0.00297872512601316,,False,853.0,,8a797683-101f-4fe0-9501-ec4f0d53ce1b
1745,8a797683-101f-4fe0-9501-ec4f0d53ce1b,7/21/2013 12:00:00 AM,7/24/2013 12:00:00 AM,42255330840000,42,255,ConocoPhillips Company/Burlington Resources, Witte Unit B2,28.962589,-97.752161,NAD27,13064.0,3023789.0,0.0,Texas,Karnes,2,False,False,,,94137790-ab67-4884-80ea-1b81f0afedfd,HAI-404M?,Halliburton,Corrosion Inhibitor,,,,,04cb5e86-f4b9-46a6-a2bf-19765984bdb6,Quaternary ammonium salt,Confidential,10.0,0.00103547656908631,,True,297.0,,8a797683-101f-4fe0-9501-ec4f0d53ce1b
1746,8a797683-101f-4fe0-9501-ec4f0d53ce1b,7/21/2013 12:00:00 AM,7/24/2013 12:00:00 AM,42255330840000,42,255,ConocoPhillips Company/Burlington Resources, Witte Unit B2,28.962589,-97.752161,NAD27,13064.0,3023789.0,0.0,Texas,Karnes,2,False,False,,,94137790-ab67-4884-80ea-1b81f0afedfd,HAI-404M?,Halliburton,Corrosion Inhibitor,,,,,10d364c0-56b0-4be8-a3d4-9d96c9fecd58,1-(Benzyl)quinolinium chloride,15619-48-4,10.0,0.00103547656908631,,True,297.0,,8a797683-101f-4fe0-9501-ec4f0d53ce1b
1747,8a797683-101f-4fe0-9501-ec4f0d53ce1b,7/21/2013 12:00:00 AM,7/24/2013 12:00:00 AM,42255330840000,42,255,ConocoPhillips Company/Burlington Resources, Witte Unit B2,28.962589,-97.752161,NAD27,13064.0,3023789.0,0.0,Texas,Karnes,2,False,False,,,94137790-ab67-4884-80ea-1b81f0afedfd,HAI-404M?,Halliburton,Corrosion Inhibitor,,,,,2fd15f7d-3807-4446-9924-f30e882efaac,Isopropanol,67-63-0,30.0,0.0031064297072589397,,True,889.0,,8a797683-101f-4fe0-9501-ec4f0d53ce1b
1748,8a797683-101f-4fe0-9501-ec4f0d53ce1b,7/21/2013 12:00:00 AM,7/24/2013 12:00:00 AM,42255330840000,42,255,ConocoPhillips Company/Burlington Resources, Witte Unit B2,28.962589,-97.752161,NAD27,13064.0,3023789.0,0.0,Texas,Karnes,2,False,False,,,94137790-ab67-4884-80ea-1b81f0afedfd,HAI-404M?,Halliburton,Corrosion Inhibitor,,,,,350837af-d07f-43bd-86c0-eec15260ac3e,Aldehyde,Confidential,30.0,0.0031064297072589397,,True,889.0,,8a797683-101f-4fe0-9501-ec4f0d53ce1b
1749,8a797683-101f-4fe0-9501-ec4f0d53ce1b,7/21/2013 12:00:00 AM,7/24/2013 12:00:00 AM,42255330840000,42,255,ConocoPhillips Company/Burlington Resources, Witte Unit B2,28.962589,-97.752161,NAD27,13064.0,3023789.0,0.0,Texas,Karnes,2,False,False,,,94137790-ab67-4884-80ea-1b81f0afedfd,HAI-404M?,Halliburton,Corrosion Inhibitor,,,,,8cd52636-9593-40c4-96a3-9aabe4cca19f,Methanol,67-56-1,30.0,0.0031064297072589397,,True,889.0,,8a797683-101f-4fe0-9501-ec4f0d53ce1b
1750,8a797683-101f-4fe0-9501-ec4f0d53ce1b,7/21/2013 12:00:00 AM,7/24/2013 12:00:00 AM,42255330840000,42,255,ConocoPhillips Company/Burlington Resources, Witte Unit B2,28.962589,-97.752161,NAD27,13064.0,3023789.0,0.0,Texas,Karnes,2,False,False,,,cf1c7d0c-3c25-4f4d-90c4-20ea983bab20,,,Other Ingredient(s),,,,,61fe16b2-f6ea-4bd5-b8a7-c396bef3d240,Naphthenic acid ethoxylate,68410-62-8,0.0,0.0031064297072589397,,False,889.0,,8a797683-101f-4fe0-9501-ec4f0d53ce1b
1751,8a797683-101f-4fe0-9501-ec4f0d53ce1b,7/21/2013 12:00:00 AM,7/24/2013 12:00:00 AM,42255330840000,42,255,ConocoPhillips Company/Burlington Resources, Witte Unit B2,28.962589,-97.752161,NAD27,13064.0,3023789.0,0.0,Texas,Karnes,2,False,False,,,b9c2d9a9-6a6e-43a9-bad8-243bc665fcf5,HYDROCHLORIC ACID 10-30%,Halliburton,Solvent,,,,,d125306e-2dc1-4edc-8e85-c2aa28f8f9b9,Hydrochloric acid,7647-01-0,30.0,0.17749619483947798,,True,50787.0,,8a797683-101f-4fe0-9501-ec4f0d53ce1b
1752,8a797683-101f-4fe0-9501-ec4f0d53ce1b,7/21/2013 12:00:00 AM,7/24/2013 12:00:00 AM,42255330840000,42,255,ConocoPhillips Company/Burlington Resources, Witte Unit B2,28.962589,-97.752161,NAD27,13064.0,3023789.0,0.0,Texas,Karnes,2,False,False,,,cb1fab12-5605-4d82-a61d-26aba17ce1a7,,,Other Ingredient(s),,,,,4c80e51d-b98b-440f-8d32-821e40713b93,"Fatty acids, tall oil",Confidential,0.0,0.00103547656908631,,False,297.0,,8a797683-101f-4fe0-9501-ec4f0d53ce1b
