,UploadKey,JobStartDate,JobEndDate,APINumber,StateNumber,CountyNumber,OperatorName,WellName,Latitude,Longitude,Projection,TVD,TotalBaseWaterVolume,TotalBaseNonWaterVolume,StateName,CountyName,FFVersion,FederalWell,IndianWell,Source,DTMOD,PurposeKey,TradeName,Supplier,Purpose,SystemApproach,IsWater,PurposePercentHFJob,PurposeIngredientMSDS,IngredientKey,IngredientName,CASNumber,PercentHighAdditive,PercentHFJob,IngredientComment,IngredientMSDS,MassIngredient,ClaimantCompany,DisclosureKey
842,10525c1e-9abb-466e-8b55-d1a9b4835d38,1/4/2011 12:00:00 AM,1/4/2011 12:00:00 AM,42255317680000,42,255,"EOG Resources, Inc.",Joseph Unit #3H,28.8501,-97.1033,NAD27,,,,Texas,Karnes,1,False,False,,,,,,,,,,,,,,,,,,,,
843,10525c1e-9abb-466e-8b55-d1a9b4835d38,1/4/2011 12:00:00 AM,1/4/2011 12:00:00 AM,42255317680000,42,255,"EOG Resources, Inc.",Joseph Unit #3H,28.8501,-97.1033,NAD27,,,,Texas,Karnes,1,False,False,,,,,,,,,,,,,,,,,,,,
888,c6195bd0-49e8-41c5-8ed1-6093faeaaf35,1/5/2011 12:00:00 AM,1/5/2011 12:00:00 AM,42255317260000,42,255,"EOG Resources, Inc.",Wiatreck Unit #2H,28.593484000000004,-97.582211,NAD27,,,,Texas,Karnes,1,False,False,,,,,,,,,,,,,,,,,,,,
889,c6195bd0-49e8-41c5-8ed1-6093faeaaf35,1/5/2011 12:00:00 AM,1/5/2011 12:00:00 AM,42255317260000,42,255,"EOG Resources, Inc.",Wiatreck Unit #2H,28.593484000000004,-97.582211,NAD27,,,,Texas,Karnes,1,False,False,,,,,,,,,,,,,,,,,,,,
934,76f76949-b98e-483e-833f-ffe59fa3e9e7,1/6/2011 12:00:00 AM,1/6/2011 12:00:00 AM,42255317220000,42,255,Plains Exploration & Production Company,Julie #1H,29.16950416,-97.7283227,NAD27,,,,Texas,Karnes,1,False,False,,,,,,,,,,,,,,,,,,,,
935,76f76949-b98e-483e-833f-ffe59fa3e9e7,1/6/2011 12:00:00 AM,1/6/2011 12:00:00 AM,42255317220000,42,255,Plains Exploration & Production Company,Julie #1H,29.16950416,-97.7283227,NAD27,,,,Texas,Karnes,1,False,False,,,,,,,,,,,,,,,,,,,,
936,c54073a1-9a5a-48a4-8ded-a6a445d7f6d0,1/6/2011 12:00:00 AM,1/6/2011 12:00:00 AM,42255317480000,42,255,Plains Exploration & Production Company,Julie #2H,29.1698266,-97.72858916,NAD27,,,,Texas,Karnes,1,False,False,,,,,,,,,,,,,,,,,,,,
937,c54073a1-9a5a-48a4-8ded-a6a445d7f6d0,1/6/2011 12:00:00 AM,1/6/2011 12:00:00 AM,42255317480000,42,255,Plains Exploration & Production Company,Julie #2H,29.1698266,-97.72858916,NAD27,,,,Texas,Karnes,1,False,False,,,,,,,,,,,,,,,,,,,,
1075,0abe771c-0881-48e1-8fa6-5959e36ceec9,1/8/2011 12:00:00 AM,1/8/2011 12:00:00 AM,42255317130000,42,255,"EOG Resources, Inc.",Wagener Unit #2H,29.073178000000002,-97.451492,NAD27,,,,Texas,Karnes,1,False,False,,,,,,,,,,,,,,,,,,,,
1076,0abe771c-0881-48e1-8fa6-5959e36ceec9,1/8/2011 12:00:00 AM,1/8/2011 12:00:00 AM,42255317130000,42,255,"EOG Resources, Inc.",Wagener Unit #2H,29.073178000000002,-97.451492,NAD27,,,,Texas,Karnes,1,False,False,,,,,,,,,,,,,,,,,,,,
1077,7814b48f-8a2a-45fb-a7d8-73e0629642de,1/8/2011 12:00:00 AM,1/8/2011 12:00:00 AM,42255317270000,42,255,"EOG Resources, Inc.",Wiatreck Unit #3H,28.594583,-97.575857,NAD27,,,,Texas,Karnes,1,False,False,,,,,,,,,,,,,,,,,,,,
1078,7814b48f-8a2a-45fb-a7d8-73e0629642de,1/8/2011 12:00:00 AM,1/8/2011 12:00:00 AM,42255317270000,42,255,"EOG Resources, Inc.",Wiatreck Unit #3H,28.594583,-97.575857,NAD27,,,,Texas,Karnes,1,False,False,,,,,,,,,,,,,,,,,,,,
1107,428b3471-c290-408a-ada3-ffbde6dcbe7c,1/10/2011 12:00:00 AM,1/10/2011 12:00:00 AM,42255317420000,42,255,"EOG Resources, Inc.",Wiatreck Unit #5HR,28.595724,-97.57283000000001,NAD27,,,,Texas,Karnes,1,False,False,,,,,,,,,,,,,,,,,,,,
1108,428b3471-c290-408a-ada3-ffbde6dcbe7c,1/10/2011 12:00:00 AM,1/10/2011 12:00:00 AM,42255317420000,42,255,"EOG Resources, Inc.",Wiatreck Unit #5HR,28.595724,-97.57283000000001,NAD27,,,,Texas,Karnes,1,False,False,,,,,,,,,,,,,,,,,,,,
1145,d0ca5303-9277-4f5f-9adb-86dcb5ce2447,1/11/2011 12:00:00 AM,1/11/2011 12:00:00 AM,42255317580000,42,255,"EOG Resources, Inc.",Wagener Unit #4H,29.070976,-97.454825,NAD27,,,,Texas,Karnes,1,False,False,,,,,,,,,,,,,,,,,,,,
1146,d0ca5303-9277-4f5f-9adb-86dcb5ce2447,1/11/2011 12:00:00 AM,1/11/2011 12:00:00 AM,42255317580000,42,255,"EOG Resources, Inc.",Wagener Unit #4H,29.070976,-97.454825,NAD27,,,,Texas,Karnes,1,False,False,,,,,,,,,,,,,,,,,,,,
1337,ce50f66f-727f-4a0e-964f-fbc5fedc4886,1/16/2011 12:00:00 AM,1/16/2011 12:00:00 AM,42255317180000,42,255,"EOG Resources, Inc.",Wagener Unit #3H,29.071609999999996,-97.483642,NAD27,,,,Texas,Karnes,1,False,False,,,,,,,,,,,,,,,,,,,,
1338,ce50f66f-727f-4a0e-964f-fbc5fedc4886,1/16/2011 12:00:00 AM,1/16/2011 12:00:00 AM,42255317180000,42,255,"EOG Resources, Inc.",Wagener Unit #3H,29.071609999999996,-97.483642,NAD27,,,,Texas,Karnes,1,False,False,,,,,,,,,,,,,,,,,,,,
1547,2123e927-f486-4fd4-97db-69f3b022c4d3,1/20/2011 12:00:00 AM,1/20/2011 12:00:00 AM,42255317850000,42,255,"EOG Resources, Inc.",Wagener Unit #6H,29.072282,-97.462489,NAD27,,,,Texas,Karnes,1,False,False,,,,,,,,,,,,,,,,,,,,
1548,2123e927-f486-4fd4-97db-69f3b022c4d3,1/20/2011 12:00:00 AM,1/20/2011 12:00:00 AM,42255317850000,42,255,"EOG Resources, Inc.",Wagener Unit #6H,29.072282,-97.462489,NAD27,,,,Texas,Karnes,1,False,False,,,,,,,,,,,,,,,,,,,,
1948,e1ac5c2f-72bd-43b2-9d3e-5a18512f5872,1/28/2011 12:00:00 AM,1/28/2011 12:00:00 AM,42255318000000,42,255,"EOG Resources, Inc.",Vickers Unit #2H,29.1158,-97.865,NAD27,,,,Texas,Karnes,1,False,False,,,,,,,,,,,,,,,,,,,,
1949,e1ac5c2f-72bd-43b2-9d3e-5a18512f5872,1/28/2011 12:00:00 AM,1/28/2011 12:00:00 AM,42255318000000,42,255,"EOG Resources, Inc.",Vickers Unit #2H,29.1158,-97.865,NAD27,,,,Texas,Karnes,1,False,False,,,,,,,,,,,,,,,,,,,,
2015,cefa5e5d-14a7-4b0f-8634-8b2ae596c77e,1/29/2011 12:00:00 AM,1/29/2011 12:00:00 AM,42255317330000,42,255,"EOG Resources, Inc.",Greenlow Unit #7H,29.033703999999997,-97.50299999999999,NAD27,,,,Texas,Karnes,1,False,False,,,,,,,,,,,,,,,,,,,,
2016,cefa5e5d-14a7-4b0f-8634-8b2ae596c77e,1/29/2011 12:00:00 AM,1/29/2011 12:00:00 AM,42255317330000,42,255,"EOG Resources, Inc.",Greenlow Unit #7H,29.033703999999997,-97.50299999999999,NAD27,,,,Texas,Karnes,1,False,False,,,,,,,,,,,,,,,,,,,,
2214,acf0c287-6096-4e9a-a43e-9443c69c43be,2/2/2011 12:00:00 AM,2/2/2011 12:00:00 AM,42255318100000,42,255,"EOG Resources, Inc.",Greenlow Unit #6H,29.034345000000002,-97.501734,NAD27,,,,Texas,Karnes,1,False,False,,,,,,,,,,,,,,,,,,,,
