,fracs_per_day,volume_per_day,avg_volh2o_per_ft,APIs
2013-01-21,2,868884.3689189189,627.4377840909092,"[42255326440000, 42255328340000]"
2013-01-22,2,868884.3689189189,627.4377840909092,"[42255326440000, 42255328340000]"
2013-01-23,1,8607.118918918919,603.1503787878788,[42255326440000]
2013-01-24,1,8607.118918918919,603.1503787878788,[42255326440000]
2013-01-25,1,8607.118918918919,603.1503787878788,[42255326440000]
2013-01-26,1,8607.118918918919,603.1503787878788,[42255326440000]
2013-01-27,1,8607.118918918919,603.1503787878788,[42255326440000]
2013-01-28,1,8607.118918918919,603.1503787878788,[42255326440000]
2013-01-29,1,8607.118918918919,603.1503787878788,[42255326440000]
2013-01-30,1,8607.118918918919,603.1503787878788,[42255326440000]
2013-01-31,1,8607.118918918919,603.1503787878788,[42255326440000]
2013-02-01,1,8607.118918918919,603.1503787878788,[42255326440000]
2013-02-02,1,8607.118918918919,603.1503787878788,[42255326440000]
2013-02-03,1,8607.118918918919,603.1503787878788,[42255326440000]
2013-02-04,1,8607.118918918919,603.1503787878788,[42255326440000]
2013-02-05,1,8607.118918918919,603.1503787878788,[42255326440000]
2013-02-06,1,8607.118918918919,603.1503787878788,[42255326440000]
2013-02-07,1,8607.118918918919,603.1503787878788,[42255326440000]
2013-02-08,1,8607.118918918919,603.1503787878788,[42255326440000]
2013-02-09,1,8607.118918918919,603.1503787878788,[42255326440000]
2013-02-10,1,8607.118918918919,603.1503787878788,[42255326440000]
2013-02-11,1,8607.118918918919,603.1503787878788,[42255326440000]
2013-02-12,1,8607.118918918919,603.1503787878788,[42255326440000]
2013-02-13,1,8607.118918918919,603.1503787878788,[42255326440000]
2013-02-14,1,8607.118918918919,603.1503787878788,[42255326440000]
2013-02-15,1,8607.118918918919,603.1503787878788,[42255326440000]
2013-02-16,1,8607.118918918919,603.1503787878788,[42255326440000]
2013-02-17,1,8607.118918918919,603.1503787878788,[42255326440000]
2013-02-18,1,8607.118918918919,603.1503787878788,[42255326440000]
2013-02-19,1,8607.118918918919,603.1503787878788,[42255326440000]
2013-02-20,1,8607.118918918919,603.1503787878788,[42255326440000]
2013-02-21,2,152879.85576102417,561.1568181818182,"[42255326440000, 42255327160000]"
2013-02-22,18,10113255.455761023,528.1371212121212,"[42255326440000, 42255327160000, 42255327150000, 42255327150000, 42255327150000, 42255327150000, 42255327150000, 42255327150000, 42255327150000, 42255327150000, 42255327150000, 42255327150000, 42255327150000, 42255327150000, 42255327150000, 42255327150000, 42255327150000, 42255327150000]"
2013-02-23,18,10113255.455761023,528.1371212121212,"[42255326440000, 42255327160000, 42255327150000, 42255327150000, 42255327150000, 42255327150000, 42255327150000, 42255327150000, 42255327150000, 42255327150000, 42255327150000, 42255327150000, 42255327150000, 42255327150000, 42255327150000, 42255327150000, 42255327150000, 42255327150000]"
2013-02-24,45,11736874.371015264,614.4262121212123,"[42255326440000, 42255327160000, 42255327150000, 42255327150000, 42255327150000, 42255327150000, 42255327150000, 42255327150000, 42255327150000, 42255327150000, 42255327150000, 42255327150000, 42255327150000, 42255327150000, 42255327150000, 42255327150000, 42255327150000, 42255327150000, 42255325280000, 42255325280000, 42255325280000, 42255325280000, 42255325280000, 42255325280000, 42255325280000, 42255325280000, 42255325280000, 42255325280000, 42255325280000, 42255325280000, 42255325280000, 42255325280000, 42255325280000, 42255325280000, 42255325280000, 42255325280000, 42255325280000, 42255325280000, 42255325280000, 42255325280000, 42255325280000, 42255325280000, 42255325280000, 42255325280000, 42255325280000]"
2013-02-25,45,11736874.371015264,614.4262121212123,"[42255326440000, 42255327160000, 42255327150000, 42255327150000, 42255327150000, 42255327150000, 42255327150000, 42255327150000, 42255327150000, 42255327150000, 42255327150000, 42255327150000, 42255327150000, 42255327150000, 42255327150000, 42255327150000, 42255327150000, 42255327150000, 42255325280000, 42255325280000, 42255325280000, 42255325280000, 42255325280000, 42255325280000, 42255325280000, 42255325280000, 42255325280000, 42255325280000, 42255325280000, 42255325280000, 42255325280000, 42255325280000, 42255325280000, 42255325280000, 42255325280000, 42255325280000, 42255325280000, 42255325280000, 42255325280000, 42255325280000, 42255325280000, 42255325280000, 42255325280000, 42255325280000, 42255325280000]"
2013-02-26,45,11736874.371015264,614.4262121212123,"[42255326440000, 42255327160000, 42255327150000, 42255327150000, 42255327150000, 42255327150000, 42255327150000, 42255327150000, 42255327150000, 42255327150000, 42255327150000, 42255327150000, 42255327150000, 42255327150000, 42255327150000, 42255327150000, 42255327150000, 42255327150000, 42255325280000, 42255325280000, 42255325280000, 42255325280000, 42255325280000, 42255325280000, 42255325280000, 42255325280000, 42255325280000, 42255325280000, 42255325280000, 42255325280000, 42255325280000, 42255325280000, 42255325280000, 42255325280000, 42255325280000, 42255325280000, 42255325280000, 42255325280000, 42255325280000, 42255325280000, 42255325280000, 42255325280000, 42255325280000, 42255325280000, 42255325280000]"
2013-02-27,37,6203332.37101526,633.9757371007374,"[42255326440000, 42255327160000, 42255327150000, 42255327150000, 42255327150000, 42255327150000, 42255327150000, 42255327150000, 42255327150000, 42255327150000, 42255325280000, 42255325280000, 42255325280000, 42255325280000, 42255325280000, 42255325280000, 42255325280000, 42255325280000, 42255325280000, 42255325280000, 42255325280000, 42255325280000, 42255325280000, 42255325280000, 42255325280000, 42255325280000, 42255325280000, 42255325280000, 42255325280000, 42255325280000, 42255325280000, 42255325280000, 42255325280000, 42255325280000, 42255325280000, 42255325280000, 42255325280000]"
