,Daily_Avg,Daily_Sum,Daily_Count,Dly_Cnt_Diff,Rig_Count,WTI_Spot_Price,Brent_Spot_Price,fracs_per_day,volume_per_day,avg_volh2o_per_ft
2016-03-15,0.0,0.0,0,0.0,26.0,36.32,37.49,11.0,6117453.184126983,829.1284263085399
2016-03-16,0.0,0.0,0,0.0,26.0,38.43,38.38,8.0,5031126.961904762,908.5900331439393
2016-03-17,0.0,0.0,0,0.0,26.0,40.17,39.29,8.0,5031126.961904762,908.5900331439393
2016-03-18,0.0,0.0,0,0.0,26.0,39.47,39.26,6.0,4198322.628571428,895.9971906565655
2016-03-19,0.0,0.0,0,0.0,,39.47,39.26,6.0,4198322.628571428,895.9971906565655
2016-03-20,0.0,0.0,0,0.0,,39.47,39.26,4.0,2959284.3785714284,1167.1866950757576
2016-03-21,0.0,0.0,0,0.0,,39.91,39.91,3.0,2572224.95,1385.1999368686868
2016-03-22,0.0,0.0,0,0.0,,41.45,40.54,3.0,2572224.95,1385.1999368686868
2016-03-23,0.0,0.0,0,0.0,,38.28,38.84,3.0,2572224.95,1385.1999368686868
2016-03-24,0.0,0.0,0,0.0,,38.14,38.33,1.0,1890341.25,2864.153409090909
2016-03-25,0.0,0.0,0,0.0,,38.14,38.33,1.0,1890341.25,2864.153409090909
2016-03-26,0.0,0.0,0,0.0,21.0,38.14,38.33,1.0,1890341.25,2864.153409090909
2016-03-27,0.0,0.0,0,0.0,21.0,38.14,38.33,1.0,1890341.25,2864.153409090909
2016-03-28,0.0,0.0,0,0.0,21.0,37.99,38.33,1.0,1890341.25,2864.153409090909
2016-03-29,0.0,0.0,0,0.0,21.0,36.91,36.75,0.0,0.0,
2016-03-30,0.0,0.0,0,0.0,21.0,36.91,36.75,1.0,2225160.0,2950.0227272727275
2016-03-31,0.0,0.0,0,0.0,21.0,36.94,36.75,1.0,2225160.0,2950.0227272727275
2016-04-01,0.0,0.0,0,0.0,21.0,35.36,36.42,1.0,2225160.0,2950.0227272727275
2016-04-02,0.0,0.0,0,0.0,18.0,35.36,36.42,1.0,2225160.0,2950.0227272727275
2016-04-03,0.0,0.0,0,0.0,18.0,35.36,36.42,2.0,2945043.3636363638,2224.8898674242428
2016-04-04,0.0,0.0,0,0.0,18.0,34.3,36.05,4.0,4216184.909090909,1535.7043560606062
2016-04-05,0.0,0.0,0,0.0,18.0,34.52,35.88,4.0,4216184.909090909,1535.7043560606062
2016-04-06,0.0,0.0,0,0.0,18.0,37.74,37.77,4.0,4216184.909090909,1535.7043560606062
2016-04-07,0.0,0.0,0,0.0,18.0,37.3,37.15,4.0,4312205.309090909,1347.7205492424243
2016-04-08,0.0,0.0,0,0.0,18.0,39.74,40.71,4.0,4312205.309090909,1347.7205492424243
2016-04-09,0.0,0.0,0,0.0,17.0,39.74,40.71,6.0,9052302.673090909,1416.227740530303
2016-04-10,0.0,0.0,0,0.0,17.0,39.74,40.71,5.0,8211749.673090909,1540.2776446969697
2016-04-11,0.0,0.0,0,0.0,17.0,40.46,41.58,5.0,8211749.673090909,1540.2776446969697
2016-04-12,0.0,0.0,0,0.0,17.0,42.12,43.02,4.0,5778999.673090909,1694.973002840909
2016-04-13,0.0,0.0,0,0.0,17.0,41.7,42.81,4.0,5707910.473090909,1678.1431732954545
2016-04-14,0.0,0.0,0,0.0,17.0,41.45,43.02,5.0,7886693.06509091,1755.1627568181818
2016-04-15,0.0,0.0,0,0.0,17.0,40.4,41.32,3.0,4859462.337454546,1697.022914141414
2016-04-16,0.0,0.0,0,0.0,17.0,40.4,41.32,2.0,4428873.792,2097.0046363636366
2016-04-17,0.0,0.0,0,0.0,17.0,40.4,41.32,3.0,7204989.792,1923.7826363636366
2016-04-18,0.0,0.0,0,0.0,17.0,39.74,41.64,3.0,7204989.792,1923.7826363636366
2016-04-19,0.0,0.0,0,0.0,17.0,40.88,43.02,4.0,8673812.264,1714.3365918560605
2016-04-20,0.0,0.0,0,0.0,17.0,42.72,43.09,3.0,6495029.672,1598.0350921717172
2016-04-21,0.0,0.0,0,0.0,17.0,43.18,43.48,3.0,7478453.582,1546.9449292929294
2016-04-22,0.0,0.0,0,0.0,17.0,42.76,43.97,3.0,7478453.582,1546.9449292929294
2016-04-23,0.0,0.0,0,0.0,17.0,42.76,43.97,6.0,9058847.551696971,1338.6822815656567
2016-04-24,0.0,0.0,0,0.0,17.0,42.76,43.97,5.0,6393269.141696969,1384.9325325757575
2016-04-25,0.0,0.0,0,0.0,17.0,41.67,42.97,7.0,5543020.636363637,1112.5906114718616
2016-04-26,0.0,0.0,0,0.0,17.0,42.52,43.94,7.0,5543020.636363637,1112.5906114718616
2016-04-27,0.0,0.0,0,0.0,17.0,45.29,44.17,7.0,5543020.636363637,1112.5906114718616
2016-04-28,0.0,0.0,0,0.0,17.0,46.03,45.6,6.0,2839018.636363636,1041.9615845959597
2016-04-29,0.0,0.0,0,0.0,17.0,45.98,45.64,6.0,2839018.636363636,1041.9615845959597
2016-04-30,0.0,0.0,0,0.0,16.0,45.98,45.64,6.0,2839018.636363636,1041.9615845959597
2016-05-01,0.0,0.0,0,0.0,16.0,45.98,45.64,6.0,2839018.636363636,1041.9615845959597
2016-05-02,0.0,0.0,0,0.0,16.0,44.75,45.82,6.0,2839018.636363636,1041.9615845959597
2016-05-03,0.0,0.0,0,0.0,16.0,43.65,43.09,6.0,2839018.636363636,1041.9615845959597
2016-05-04,0.0,0.0,0,0.0,16.0,43.77,43.08,6.0,2839018.636363636,1041.9615845959597
2016-05-05,0.0,0.0,0,0.0,16.0,44.33,44.39,4.0,1780138.0,1011.4420454545456
2016-05-06,0.0,0.0,0,0.0,16.0,44.58,44.6,3.0,1258624.6666666667,953.5035353535353
2016-05-07,0.0,0.0,0,0.0,14.0,44.58,44.6,6.0,2459963.777777778,818.0412878787879
2016-05-08,0.0,0.0,0,0.0,14.0,44.58,44.6,4.0,2835952.861111111,1131.1061553030304
2016-05-09,0.0,0.0,0,0.0,14.0,43.45,42.43,4.0,2835952.861111111,1131.1061553030304
2016-05-10,0.0,0.0,0,0.0,14.0,44.68,44.01,4.0,2835952.861111111,1131.1061553030304
2016-05-11,0.0,0.0,0,0.0,14.0,46.21,46.08,4.0,2835952.861111111,1131.1061553030304
2016-05-12,0.0,0.0,0,0.0,14.0,46.64,46.43,4.0,2835952.861111111,1131.1061553030304
2016-05-13,0.0,0.0,0,0.0,14.0,46.22,47.05,4.0,2835952.861111111,1131.1061553030304
2016-05-14,0.0,0.0,0,0.0,13.0,46.22,47.05,4.0,2835952.861111111,1131.1061553030304
2016-05-15,0.0,0.0,0,0.0,13.0,46.22,47.05,4.0,2835952.861111111,1131.1061553030304
2016-05-16,0.0,0.0,0,0.0,13.0,47.72,48.49,4.0,2835952.861111111,1131.1061553030304
2016-05-17,0.0,0.0,0,0.0,13.0,48.29,48.71,2.0,2352583.16,1386.1786098484847
2016-05-18,0.0,0.0,0,0.0,13.0,48.12,48.93,2.0,2352583.16,1386.1786098484847
2016-05-19,0.0,0.0,0,0.0,13.0,48.16,47.01,1.0,2047577.16,2714.5909318181816
2016-05-20,0.0,0.0,0,0.0,13.0,47.67,48.54,2.0,4409403.564,2475.5844829545454
2016-05-21,0.0,0.0,0,0.0,12.0,47.67,48.54,2.0,4409403.564,2475.5844829545454
2016-05-22,0.0,0.0,0,0.0,12.0,47.67,48.54,10.0,12017515.7408,1936.0472331060605
2016-05-23,0.0,0.0,0,0.0,12.0,48.12,47.77,12.0,14921172.2408,1740.6961948863636
2016-05-24,0.0,0.0,0,0.0,12.0,48.04,48.42,12.0,14921172.2408,1740.6961948863636
2016-05-25,0.0,0.0,0,0.0,12.0,49.1,48.87,12.0,15442567.0808,1717.2085035984849
2016-05-26,0.0,0.0,0,0.0,12.0,49.0,49.52,11.0,13642292.792800002,1809.9530449035813
2016-05-27,0.0,0.0,0,0.0,12.0,49.36,49.09,11.0,13642292.792800002,1809.9530449035813
2016-05-28,0.0,0.0,0,0.0,12.0,49.36,49.09,11.0,13481224.459466668,1932.3152349862257
2016-05-29,0.0,0.0,0,0.0,12.0,49.36,49.09,12.0,14199992.228697438,1918.7634130050503
2016-05-30,0.0,0.0,0,0.0,12.0,49.36,49.09,12.0,14199992.228697438,1918.7634130050503
2016-05-31,0.0,0.0,0,0.0,12.0,49.1,49.26,14.0,15255042.428697437,1747.7387290043293
2016-06-01,0.0,0.0,0,0.0,12.0,49.07,48.81,13.0,12919785.812697437,1712.0711504662006
2016-06-02,0.0,0.0,0,0.0,12.0,49.14,49.05,5.0,5311673.635897436,1569.5243181818182
2016-06-03,0.0,0.0,0,0.0,12.0,48.69,48.5,6.0,7499663.635897436,1584.1982954545454
2016-06-04,0.0,0.0,0,0.0,13.0,48.69,48.5,6.0,7499663.635897436,1584.1982954545454
2016-06-05,0.0,0.0,0,0.0,13.0,48.69,48.5,6.0,7499663.635897436,1584.1982954545454
2016-06-06,0.0,0.0,0,0.0,13.0,49.71,48.94,5.0,5048014.435897436,1436.7104545454545
2016-06-07,0.0,0.0,0,0.0,13.0,50.37,49.76,5.0,5048014.435897436,1436.7104545454545
2016-06-08,0.0,0.0,0,0.0,13.0,51.23,50.73,6.0,5531556.102564103,1643.5200757575758
2016-06-09,0.0,0.0,0,0.0,13.0,50.52,50.59,9.0,7965007.624622926,1858.9260101010102
2016-06-10,0.0,0.0,0,0.0,13.0,49.09,49.7,10.0,8173555.65795626,1675.831003787879
2016-06-11,0.0,0.0,0,0.0,14.0,49.09,49.7,10.0,8173555.65795626,1675.831003787879
2016-06-12,0.0,0.0,0,0.0,14.0,49.09,49.7,10.0,9678116.68872549,1709.4041666666667
2016-06-13,0.0,0.0,0,0.0,14.0,48.89,49.36,9.0,7224329.68872549,1692.7902356902357
2016-06-14,0.0,0.0,0,0.0,14.0,48.49,47.88,11.0,9344435.81372549,1677.035829889807
2016-06-15,0.0,0.0,0,0.0,14.0,47.92,47.47,11.0,9344435.81372549,1677.035829889807
2016-06-16,0.0,0.0,0,0.0,14.0,46.14,45.66,11.0,9344435.81372549,1677.035829889807
2016-06-17,0.0,0.0,0,0.0,14.0,48.0,46.57,11.0,9344435.81372549,1677.035829889807
2016-06-18,0.0,0.0,0,0.0,14.0,48.0,46.57,9.0,6471177.13872549,1706.3585437710437
2016-06-19,0.0,0.0,0,0.0,14.0,48.0,46.57,9.0,6471177.13872549,1706.3585437710437
2016-06-20,0.0,0.0,0,0.0,14.0,49.4,48.68,9.0,6471177.13872549,1706.3585437710437
2016-06-21,0.0,0.0,0,0.0,14.0,48.95,48.18,8.0,7254616.09872549,1919.438090909091
2016-06-22,0.0,0.0,0,0.0,14.0,49.16,48.43,8.0,7254616.09872549,1919.438090909091
2016-06-23,0.0,0.0,0,0.0,14.0,49.34,48.63,6.0,5134509.97372549,2023.870453282828
2016-06-24,0.0,0.0,0,0.0,14.0,46.7,46.69,4.0,4173610.3070588238,2353.34853030303
2016-06-25,0.0,0.0,0,0.0,14.0,46.7,46.69,6.0,5462189.852513369,1948.579733585858
2016-06-26,0.0,0.0,0,0.0,14.0,46.7,46.69,6.0,5462189.852513369,1948.579733585858
2016-06-27,0.0,0.0,0,0.0,14.0,45.8,45.07,6.0,6599167.6054545455,1736.594916666667
2016-06-28,0.0,0.0,0,0.0,14.0,47.93,46.29,4.0,3888155.9454545453,1408.5021306818182
2016-06-29,0.0,0.0,0,0.0,14.0,49.85,48.4,4.0,3888155.9454545453,1408.5021306818182
2016-06-30,0.0,0.0,0,0.0,14.0,48.27,48.05,4.0,3888155.9454545453,1408.5021306818182
2016-07-01,0.0,0.0,0,0.0,14.0,49.02,47.65,4.0,3888155.9454545453,1408.5021306818182
2016-07-02,0.0,0.0,0,0.0,14.0,49.02,47.65,4.0,3888155.9454545453,1408.5021306818182
2016-07-03,0.0,0.0,0,0.0,14.0,49.02,47.65,4.0,3973802.345454545,1428.7782670454544
2016-07-04,0.0,0.0,0,0.0,14.0,49.02,48.02,4.0,3973802.345454545,1428.7782670454544
